gene_id,upregulated_real,downregulated_real,upregulated_synth,downregulated_synth,log2_odds_ratio,p_value,p_adj,z_score,gene_name,biotype
ENSG00000198586,2741,1457,3337.6,1559.0,-0.18647403147486746,0.003952447879178986,0.01436040831755343,-0.26494731245829195,TLK1,protein_coding
ENSG00000227367,1392,736,985.7,484.8,-0.10408349554537621,0.3163041216289539,0.4947397568583468,-0.2014356954537614,SLC9B1P4,pseudogene
ENSG00000233080,2126,590,1833.1,636.8,0.32383750688384516,0.0005930840462735701,0.0028623226975254545,0.12843174026407445,CTA-714B7.5,lincRNA
ENSG00000153827,1958,1016,2305.2,1217.4,0.02532978083211551,0.7530856436432707,0.9092475159430563,-0.10167610107968619,TRIP12,protein_coding
ENSG00000225889,1590,881,2086.9,852.9,-0.4389651719206034,1.9251042637916475e-07,2.544246291103612e-06,-0.4595827815460306,AC074289.1,antisense
ENSG00000204929,13010,5192,12478.3,5009.5,0.008578492107718506,0.7965778595424786,0.9437853038415525,-0.11458900936209726,AC074391.1,lincRNA
ENSG00000176204,21736,9601,18880.0,7899.9,-0.07811142413838834,0.0029295184719728305,0.011173641549200065,-0.1814148492072146,LRRTM4,protein_coding
ENSG00000168754,2390,700,2272.0,802.0,0.2691484528450726,0.0018320797016081844,0.007514826528601151,0.08627410388915051,FAM178B,protein_coding
ENSG00000168658,4196,1913,4338.8,1848.1,-0.098056563139272,0.08500131078517756,0.18018489109379202,-0.19678977079299373,VWA3B,protein_coding
ENSG00000144847,6478,2040,5536.9,2128.9,0.28797534665390195,2.9340733035011934e-08,4.825329972916563e-07,0.10078701432821628,IGSF11,protein_coding
ENSG00000174579,307,503,750.4,460.4,-1.4155723918530214,1.881336258119401e-26,1.0558327842888667e-23,-1.2124107977308998,MSL2,protein_coding
ENSG00000118007,6052,2673,6099.5,3007.7,0.1588927425112895,0.0006170273317116456,0.0029601488293441607,0.0012823221476849643,STAG1,protein_coding
ENSG00000206120,14886,6759,12065.1,5960.0,0.12162176119598143,9.622615454932654e-05,0.0005977852510725903,-0.02744840843897644,EGFEM1P,pseudogene
ENSG00000144681,4213,1405,3489.9,1289.0,0.14735506576728796,0.023325704432527412,0.0631149581494164,-0.007611618135871446,STAC,protein_coding
ENSG00000144455,11512,4344,13192.6,5777.7,0.21484755086535526,3.6385987211892815e-10,9.553373484505992e-09,0.0444156786388554,SUMF1,protein_coding
ENSG00000160808,310,136,288.4,112.8,-0.16473002544347076,0.4967814265853364,0.6850443892204796,-0.24818571517493274,MYL3,protein_coding
ENSG00000189229,6186,3234,4975.3,2621.4,0.011264889297374098,0.8202547960798651,0.9614354130905903,-0.11251817164382504,AC069277.2,lincRNA
ENSG00000196277,24838,9732,21123.1,8546.7,0.04636376550762512,0.06681763893199244,0.14894422238817667,-0.08546183127649691,GRM7,protein_coding
ENSG00000114026,355,174,391.5,229.1,0.2548915110828804,0.17254246428856163,0.31283400067271916,0.07528398937367814,OGG1,protein_coding
ENSG00000249464,5502,1636,4576.1,1841.1,0.43615717204151655,1.754796702538593e-14,1.1733989524975085e-12,0.21501454343549678,LINC01091,lincRNA
ENSG00000251632,1076,591,965.2,463.9,-0.19230885950582274,0.08698481138002784,0.1835230029572714,-0.2694451514273996,RP11-714L20.1,lincRNA
ENSG00000071205,4225,1877,5111.9,2381.6,0.06854241636311813,0.20622942944136521,0.35802786877772885,-0.06836518342829333,ARHGAP10,protein_coding
ENSG00000168843,16316,6379,14953.4,6367.9,0.12329743094575132,4.9387062101453943e-05,0.000334440118018637,-0.026156700669718338,FSTL5,protein_coding
ENSG00000138678,1008,534,1104.5,500.8,-0.22435099949134135,0.040551312900714336,0.09937980831594277,-0.2941451743099717,AGPAT9,protein_coding
ENSG00000145526,29087,10819,23475.0,9470.8,0.11724395415525829,9.637425898871349e-07,1.0691317372034196e-05,-0.030823087350254432,CDH18,protein_coding
ENSG00000250722,1304,688,1400.2,729.2,-0.018804250858848858,0.8439893234525371,0.9797546063408685,-0.13569728671708917,SEPP1,protein_coding
ENSG00000070193,1440,1183,1398.4,848.2,-0.4374562985183861,2.438226889915309e-07,3.1392296065652738e-06,-0.45841965050738853,FGF10,protein_coding
ENSG00000180104,485,78,636.1,152.1,0.5680745417261749,0.010079294799170689,0.03143515698604112,0.31670444464972264,EXOC3,protein_coding
ENSG00000236068,1587,422,1612.1,564.9,0.39768850643741005,0.00017322474539052522,0.0009929066748373932,0.1853605652332645,AC016561.1,pseudogene
ENSG00000112249,5137,2578,6040.6,2815.7,-0.1065270303720093,0.027087262825011803,0.07130997621582098,-0.20331932014797582,ASCC3,protein_coding
ENSG00000164434,27,60,57.5,40.3,-1.6449872717933738,0.00020143314855417378,0.0011347268314681079,-1.389257687067574,FABP7,protein_coding
ENSG00000049449,5553,2465,5161.4,2161.1,-0.08428557346000548,0.0978741004208957,0.20128171888678903,-0.18617425758609576,RCN1,protein_coding
ENSG00000110427,2068,824,2119.8,945.4,0.1624847293491835,0.050297239709566274,0.11838101172712115,0.0040512432350398656,KIAA1549L,protein_coding
ENSG00000254757,801,227,944.8,335.2,0.3232362570273438,0.024775430755898997,0.06632744277955319,0.1279682604459213,RP13-726E6.1,lincRNA
ENSG00000215863,309,68,1222.8,561.1,1.0526001056886698,9.638924044866067e-08,1.3788443554030531e-06,0.6902061059767625,LINC01138,lincRNA
ENSG00000225082,432,150,284.5,84.1,-0.22929570505513164,0.3155842439541325,0.49381038680559997,-0.2979568529502997,DAP3P1,pseudogene
ENSG00000272949,236,170,231.4,120.0,-0.4724012292134571,0.03573810693070842,0.08953900068704593,-0.4853573203443047,RP11-514P8.8,processed_transcript
ENSG00000240758,120,88,169.8,72.5,-0.7768262797641987,0.007765796971577293,0.02531253549291964,-0.7200265939330794,RP11-155G14.6,processed_transcript
ENSG00000155561,1207,525,1856.4,681.9,-0.2439460520964138,0.01539720172574223,0.044831505558129724,-0.30925022809068786,NUP205,protein_coding
ENSG00000261115,8117,3423,8155.1,3299.5,-0.05976152703802544,0.1553933654478969,0.2885496419082129,-0.16726963673149828,TMEM178B,protein_coding
ENSG00000005020,5938,2291,6186.4,2690.8,0.17289278436297226,0.0003800831312134958,0.0019559935562105365,0.012074402646984193,SKAP2,protein_coding
ENSG00000225718,5073,1932,4739.3,1748.8,-0.045535523244603776,0.4277565327847367,0.6147581997603212,-0.15630337107683603,RP11-3P22.2,lincRNA
ENSG00000008277,4316,1792,4923.3,2093.0,0.034033625509011886,0.5396889934879465,0.725842452790205,-0.09496665025078226,ADAM22,protein_coding
ENSG00000251003,10067,4585,7307.1,3678.3,0.14439209319424248,0.00021574942830117905,0.001203723243857528,-0.00989565691691831,RP11-152P17.2,processed_transcript
ENSG00000253877,4154,1221,2620.2,1084.8,0.49416266966545513,2.179107529768548e-12,9.407279044720596e-11,0.2597286954638503,RP11-946L20.2,lincRNA
ENSG00000253471,1132,436,1658.9,724.0,0.17985339492743255,0.08657781865802885,0.18287302135792263,0.01744006300227084,RP11-175E9.1,antisense
ENSG00000147606,5697,2437,4393.8,2267.6,0.2707776841107993,1.2352903522807076e-07,1.7201021352006236e-06,0.08753001406127503,SLC26A7,protein_coding
ENSG00000225564,4770,2345,3609.8,1692.8,-0.06803614383081147,0.2299225009179876,0.3888220729510249,-0.1736482127011027,RP11-341A22.2,lincRNA
